userName,content,score,at,label_num,label,text_Clean,text_Normalization,text_StopWord,text_Tokenization,text_Stemmindo,text_String
Pengguna Google,"hampir 2jam susah cari driver gaada satupun driver yg mau ambil gara garaa luu masang tarif hemattt,sampe pernahh guaa bayar gojek sekitar 18k ehh driver nya cuma dpt kurang dri 10k gilaaa lu.",1,2025-04-20 14:41:42,-1,negative,hampir 2jam susah cari driver gaada satupun driver yg mau ambil gara garaa luu masang tarif hemattt sampe pernahh guaa bayar gojek sekitar 18k ehh driver nya cuma dpt kurang dri 10k gilaaa lu,hampir 2jam susah cari driver gaada satupun driver yang mau ambil gara garaa luu masang tarif hemattt sampe pernahh guaa bayar gojek sekitar 18k ehh driver nya hanya dapat kurang dari 10k gilaaa kamu,2jam susah cari driver gaada satupun driver ambil gara garaa luu masang tarif hemattt sampe pernahh guaa bayar gojek 18k ehh driver 10k gilaaa,"['2jam', 'susah', 'cari', 'driver', 'gaada', 'satupun', 'driver', 'ambil', 'gara', 'garaa', 'luu', 'masang', 'tarif', 'hemattt', 'sampe', 'pernahh', 'guaa', 'bayar', 'gojek', '18k', 'ehh', 'driver', '10k', 'gilaaa']","['2jam', 'susah', 'cari', 'driver', 'gaada', 'satu', 'driver', 'ambil', 'gara', 'garaa', 'luu', 'masang', 'tarif', 'hemattt', 'sampe', 'pernahh', 'guaa', 'bayar', 'gojek', '18k', 'ehh', 'driver', '10k', 'gilaaa']",2jam susah cari driver gaada satu driver ambil gara garaa masang tarif hemattt sampe pernahh guaa bayar gojek driver gilaaa
Pengguna Google,best,5,2025-04-20 14:39:35,1,positive,best,best,best,['best'],['best'],best
Pengguna Google,boleee,5,2025-04-20 14:32:27,1,positive,boleee,boleee,boleee,['boleee'],['boleee'],boleee
Pengguna Google,"maaf sudah uninstal untuk gojeknya, order food lama, order car juga, ada driver banyak yang dekat kok malah dapatnya yg jauh eehh ujung2nya sidriver mlaah menjauh gak ada konfirmasi sudah nunggu lama lagi. akhirnya pindah di ijo sebelah sat_set.",1,2025-04-20 14:21:01,-1,negative,maaf sudah uninstal untuk gojeknya order food lama order car juga ada driver banyak yang dekat kok malah dapatnya yg jauh eehh ujung2nya sidriver mlaah menjauh gak ada konfirmasi sudah nunggu lama lagi akhirnya pindah di ijo sebelah sat_set,maaf sudah uninstal untuk gojeknya order food lama order car juga ada driver banyak yang dekat kok malah dapatnya yang jauh eehh ujung2nya sidriver mlaah menjauh tidak ada konfirmasi sudah nunggu lama lagi akhirnya pindah di ijo sebelah sat_set,maaf uninstal gojeknya order food order car driver dapatnya eehh ujung2nya sidriver mlaah menjauh konfirmasi nunggu pindah ijo sebelah sat_set,"['maaf', 'uninstal', 'gojeknya', 'order', 'food', 'order', 'car', 'driver', 'dapatnya', 'eehh', 'ujung2nya', 'sidriver', 'mlaah', 'menjauh', 'konfirmasi', 'nunggu', 'pindah', 'ijo', 'sebelah', 'sat_set']","['maaf', 'uninstal', 'gojek', 'order', 'food', 'order', 'car', 'driver', 'dapat', 'eehh', 'ujung2nya', 'sidriver', 'mlaah', 'jauh', 'konfirmasi', 'nunggu', 'pindah', 'ijo', 'belah', 'sat set']",maaf uninstal gojek order food order driver dapat eehh ujung2nya sidriver mlaah jauh konfirmasi nunggu pindah belah sat set
Pengguna Google,memudahkan segalanya,5,2025-04-20 13:59:58,1,positive,memudahkan segalanya,memudahkan segalanya,memudahkan,['memudahkan'],['mudah'],mudah
Pengguna Google,semakin banyak resto dan pilihan makanan nya,5,2025-04-20 13:54:20,1,positive,semakin banyak resto dan pilihan makanan nya,semakin banyak resto dan pilihan makanan nya,resto pilihan makanan,"['resto', 'pilihan', 'makanan']","['resto', 'pilih', 'makan']",resto pilih makan
Pengguna Google,ok,5,2025-04-20 13:47:07,1,positive,ok,ok,ok,['ok'],['ok'],
Pengguna Google,grecep....,5,2025-04-20 13:44:32,1,positive,grecep,grecep,grecep,['grecep'],['grecep'],grecep
Pengguna Google,berguna kapanpun dmn pun,5,2025-04-20 13:43:35,1,positive,berguna kapanpun dmn pun,berguna kapanpun di mana pun,berguna,['berguna'],['guna'],guna
Pengguna Google,saya pelanggan dari awal pertama sebelum gojek berganti model atributnya sebelum yg sekarang di pakai Abang gojek..banyak pengalaman di sepanjang perjalanan yang saya lalui bersama gojek terima kasih gojek sudah memberikan kemudahan dan customer mu merasa nyaman dan puas dgn bonus discount yg di dapat semoga semakin baik Dan bertambah baik untuk masyarakat Indonesia ya terutama yg tidak bisa mengendarai sepeda motor juga untuk mempermudah kegiatan👍,5,2025-04-20 13:40:08,1,positive,saya pelanggan dari awal pertama sebelum gojek berganti model atributnya sebelum yg sekarang di pakai abang gojek banyak pengalaman di sepanjang perjalanan yang saya lalui bersama gojek terima kasih gojek sudah memberikan kemudahan dan customer mu merasa nyaman dan puas dgn bonus discount yg di dapat semoga semakin baik dan bertambah baik untuk masyarakat indonesia ya terutama yg tidak bisa mengendarai sepeda motor juga untuk mempermudah kegiatan,saya pelanggan dari awal pertama sebelum gojek berganti model atributnya sebelum yang sekarang di pakai abang gojek banyak pengalaman di sepanjang perjalanan yang saya lalui bersama gojek terima kasih gojek sudah memberikan kemudahan dan customer mu merasa nyaman dan puas dengan bonus discount yang di dapat semoga semakin baik dan bertambah baik untuk masyarakat indonesia ya terutama yang tidak bisa mengendarai sepeda motor juga untuk mempermudah kegiatan,pelanggan gojek berganti model atributnya pakai abang gojek pengalaman perjalanan lalui gojek terima kasih gojek kemudahan customer mu nyaman puas bonus discount semoga bertambah masyarakat indonesia ya mengendarai sepeda motor mempermudah kegiatan,"['pelanggan', 'gojek', 'berganti', 'model', 'atributnya', 'pakai', 'abang', 'gojek', 'pengalaman', 'perjalanan', 'lalui', 'gojek', 'terima', 'kasih', 'gojek', 'kemudahan', 'customer', 'mu', 'nyaman', 'puas', 'bonus', 'discount', 'semoga', 'bertambah', 'masyarakat', 'indonesia', 'ya', 'mengendarai', 'sepeda', 'motor', 'mempermudah', 'kegiatan']","['langgan', 'gojek', 'ganti', 'model', 'atribut', 'pakai', 'abang', 'gojek', 'alam', 'jalan', 'lalu', 'gojek', 'terima', 'kasih', 'gojek', 'mudah', 'customer', 'mu', 'nyaman', 'puas', 'bonus', 'discount', 'moga', 'tambah', 'masyarakat', 'indonesia', 'ya', 'kendara', 'sepeda', 'motor', 'mudah', 'giat']",langgan gojek ganti model atribut pakai abang gojek alam jalan lalu gojek terima kasih gojek mudah customer nyaman puas bonus discount moga tambah masyarakat indonesia kendara sepeda motor mudah giat
Pengguna Google,pelayanan baik,5,2025-04-20 13:27:00,1,positive,pelayanan baik,pelayanan baik,pelayanan,['pelayanan'],['layan'],layan
Pengguna Google,"berpergian, belanja hemat pakai Gojek👍",5,2025-04-20 13:23:11,1,positive,berpergian belanja hemat pakai gojek,berpergian belanja hemat pakai gojek,berpergian belanja hemat pakai gojek,"['berpergian', 'belanja', 'hemat', 'pakai', 'gojek']","['pergi', 'belanja', 'hemat', 'pakai', 'gojek']",pergi belanja hemat pakai gojek
Pengguna Google,good job,5,2025-04-20 13:14:11,1,positive,good job,good job,good job,"['good', 'job']","['good', 'job']",good
Pengguna Google,trimksh,5,2025-04-20 13:12:17,1,positive,trimksh,trimksh,trimksh,['trimksh'],['trimksh'],trimksh
Pengguna Google,okeee,5,2025-04-20 13:11:26,1,positive,okeee,okeee,okeee,['okeee'],['okeee'],okeee
Pengguna Google,apk sangat membantu. mantap 👍👍👍,5,2025-04-20 13:10:50,1,positive,apk sangat membantu mantap,apk sangat membantu mantap,apk membantu mantap,"['apk', 'membantu', 'mantap']","['apk', 'bantu', 'mantap']",bantu mantap
Pengguna Google,aplikasi nya sangat membantu saya dalam bepergian,4,2025-04-20 13:02:18,1,positive,aplikasi nya sangat membantu saya dalam bepergian,aplikasi nya sangat membantu saya dalam bepergian,aplikasi membantu bepergian,"['aplikasi', 'membantu', 'bepergian']","['aplikasi', 'bantu', 'pergi']",aplikasi bantu pergi
Pengguna Google,tepat waktu dan driver ramah,5,2025-04-20 12:58:48,1,positive,tepat waktu dan driver ramah,tepat waktu dan driver ramah,driver ramah,"['driver', 'ramah']","['driver', 'ramah']",driver ramah
Pengguna Google,"Makin hari makin mahal harga layanannya, padahal resto cuma 2,5 km. Biasa beli di resto yang sama dengan makanan yang sama 37k an, ini tiba tiba 65k. Terus juga fitur gojek plusnya buat apaaa? Hampir semua resto yang ada label gojek plus udah ilang sekarang, kebanyakan berubah jadi super partner, why gaada pemberitahuan sama sekali atas perubahannya? Gua udah biasa langganan gojekplus nya padahal loh..",2,2025-04-20 12:57:15,-1,negative,makin hari makin mahal harga layanannya padahal resto cuma 2 5 km biasa beli di resto yang sama dengan makanan yang sama 37k an ini tiba tiba 65k terus juga fitur gojek plusnya buat apaaa hampir semua resto yang ada label gojek plus udah ilang sekarang kebanyakan berubah jadi super partner why gaada pemberitahuan sama sekali atas perubahannya gua udah biasa langganan gojekplus nya padahal loh,makin hari makin mahal harga layanannya padahal resto hanya 2 5 kamu biasa beli di resto yang sama dengan makanan yang sama 37k an ini tiba tiba 65k terus juga fitur gojek plusnya buat apaaa hampir semua resto yang ada label gojek plus sudah ilang sekarang kebanyakan berubah jadi super partner why gaada pemberitahuan sama sekali atas perubahannya saya sudah biasa langganan gojekplus nya padahal loh,mahal harga layanannya resto 2 5 beli resto makanan 37k an 65k fitur gojek plusnya apaaa resto label gojek plus ilang kebanyakan berubah super partner why gaada pemberitahuan perubahannya langganan gojekplus loh,"['mahal', 'harga', 'layanannya', 'resto', '2', '5', 'beli', 'resto', 'makanan', '37k', 'an', '65k', 'fitur', 'gojek', 'plusnya', 'apaaa', 'resto', 'label', 'gojek', 'plus', 'ilang', 'kebanyakan', 'berubah', 'super', 'partner', 'why', 'gaada', 'pemberitahuan', 'perubahannya', 'langganan', 'gojekplus', 'loh']","['mahal', 'harga', 'layan', 'resto', '2', '5', 'beli', 'resto', 'makan', '37k', 'an', '65k', 'fitur', 'gojek', 'plus', 'apaaa', 'resto', 'label', 'gojek', 'plus', 'ilang', 'banyak', 'ubah', 'super', 'partner', 'why', 'gaada', 'pemberitahuan', 'ubah', 'langgan', 'gojekplus', 'loh']",mahal harga layan resto beli resto makan fitur gojek plus apaaa resto label gojek plus ilang banyak ubah super partner gaada pemberitahuan ubah langgan gojekplus
Pengguna Google,pajak untuk driver dan penjual semakin besar tapi diskon makin susah,3,2025-04-20 12:57:06,0,neutral,pajak untuk driver dan penjual semakin besar tapi diskon makin susah,pajak untuk driver dan penjual semakin besar tapi diskon makin susah,pajak driver penjual diskon susah,"['pajak', 'driver', 'penjual', 'diskon', 'susah']","['pajak', 'driver', 'jual', 'diskon', 'susah']",pajak driver jual diskon susah
Pengguna Google,"Gofood udah potongan gede, ongkos mahal. Ongkos hemat 20% harga total malah makanan jalan2 keliling kota dulu baru sampe. Ga worth untuk pesan makanan.",1,2025-04-20 12:48:40,-1,negative,gofood udah potongan gede ongkos mahal ongkos hemat 20 harga total malah makanan jalan2 keliling kota dulu baru sampe ga worth untuk pesan makanan,gofood sudah potongan gede ongkos mahal ongkos hemat 20 harga total malah makanan jalan2 keliling kota dulu baru sampe tidak worth untuk pesan makanan,gofood potongan gede ongkos mahal ongkos hemat 20 harga total makanan jalan2 keliling kota sampe worth pesan makanan,"['gofood', 'potongan', 'gede', 'ongkos', 'mahal', 'ongkos', 'hemat', '20', 'harga', 'total', 'makanan', 'jalan2', 'keliling', 'kota', 'sampe', 'worth', 'pesan', 'makanan']","['gofood', 'potong', 'gede', 'ongkos', 'mahal', 'ongkos', 'hemat', '20', 'harga', 'total', 'makan', 'jalan2', 'keliling', 'kota', 'sampe', 'worth', 'pesan', 'makan']",gofood potong gede ongkos mahal ongkos hemat harga total makan jalan2 keliling kota sampe worth pesan makan
Pengguna Google,"maap ya bintang 1, soalnya gojek lebih dukung customer yg nyuruh driver lawan arah + gak pake helm. padahal jelas2 depan mata ada cctv ELTE. tolong kalo mo acc laporan di pilah dan dipikir dulu. jangan langsung suspend. kalian aja padahal gak tau kronologi benarnya. dasar karyawan cs yg acc laporan orang aneh. wkwk",1,2025-04-20 12:47:54,-1,negative,maap ya bintang 1 soalnya gojek lebih dukung customer yg nyuruh driver lawan arah gak pake helm padahal jelas2 depan mata ada cctv elte tolong kalo mo acc laporan di pilah dan dipikir dulu jangan langsung suspend kalian aja padahal gak tau kronologi benarnya dasar karyawan cs yg acc laporan orang aneh wkwk,maap ya bintang 1 karena gojek lebih dukung customer yang nyuruh driver lawan arah tidak pake helm padahal jelas2 depan mata ada cctv elte tolong kalau mo acc laporan di pilah dan dipikir dulu jangan langsung suspend kalian saja padahal tidak tahu kronologi benarnya dasar karyawan cs yang acc laporan orang aneh wkwk,maap ya bintang 1 gojek dukung customer nyuruh driver lawan arah pake helm jelas2 mata cctv elte tolong mo acc laporan pilah dipikir langsung suspend kronologi benarnya dasar karyawan cs acc laporan orang aneh wkwk,"['maap', 'ya', 'bintang', '1', 'gojek', 'dukung', 'customer', 'nyuruh', 'driver', 'lawan', 'arah', 'pake', 'helm', 'jelas2', 'mata', 'cctv', 'elte', 'tolong', 'mo', 'acc', 'laporan', 'pilah', 'dipikir', 'langsung', 'suspend', 'kronologi', 'benarnya', 'dasar', 'karyawan', 'cs', 'acc', 'laporan', 'orang', 'aneh', 'wkwk']","['maap', 'ya', 'bintang', '1', 'gojek', 'dukung', 'customer', 'nyuruh', 'driver', 'lawan', 'arah', 'pake', 'helm', 'jelas2', 'mata', 'cctv', 'elte', 'tolong', 'mo', 'acc', 'lapor', 'pilah', 'pikir', 'langsung', 'suspend', 'kronologi', 'benar', 'dasar', 'karyawan', 'cs', 'acc', 'lapor', 'orang', 'aneh', 'wkwk']",maap bintang gojek dukung customer nyuruh driver lawan arah pake helm jelas2 mata cctv elte tolong lapor pilah pikir langsung suspend kronologi benar dasar karyawan lapor orang aneh wkwk
Pengguna Google,Mantap dah ah,5,2025-04-20 12:39:15,1,positive,mantap dah ah,mantap sudah ah,mantap ah,"['mantap', 'ah']","['mantap', 'ah']",mantap
Pengguna Google,bestttt,5,2025-04-20 12:35:57,1,positive,bestttt,bestttt,bestttt,['bestttt'],['bestttt'],bestttt
Pengguna Google,okee,5,2025-04-20 12:34:52,1,positive,okee,okee,okee,['okee'],['okee'],okee
Pengguna Google,aku gak pernah dapat gojek di giri Kusuma knp ya,3,2025-04-20 12:25:40,0,neutral,aku gak pernah dapat gojek di giri kusuma knp ya,aku tidak pernah dapat gojek di giri kusuma mengapa ya,gojek giri kusuma ya,"['gojek', 'giri', 'kusuma', 'ya']","['gojek', 'giri', 'kusuma', 'ya']",gojek giri kusuma
Pengguna Google,tidak butuh gofood atau gosend yang di banyakin promo goride nya,1,2025-04-20 12:25:38,-1,negative,tidak butuh gofood atau gosend yang di banyakin promo goride nya,tidak butuh gofood atau gosend yang di banyakin promo goride nya,butuh gofood gosend banyakin promo goride,"['butuh', 'gofood', 'gosend', 'banyakin', 'promo', 'goride']","['butuh', 'gofood', 'gosend', 'banyakin', 'promo', 'goride']",butuh gofood gosend banyakin promo goride
Pengguna Google,"tolong bangt buat pihak gojek diperhatikan lagi perihal drivernya ,kalo umur ya sudah tua bangt jangn diterima pak bu saya sering banget dpt driver udh tua bngt pas konfirmasi sesuatu selalu ga paham,terus sering juga dapet driver yang ugal2an dijalan dikasih tau marah² ga jelas,ditambah lagi suka ga tau jalan malah nanya lagi ke penumpang padahal tujuan kita naik gojek supaya nyampe sesuai titik. terima kasih",5,2025-04-20 12:06:03,1,positive,tolong bangt buat pihak gojek diperhatikan lagi perihal drivernya kalo umur ya sudah tua bangt jangn diterima pak bu saya sering banget dpt driver udh tua bngt pas konfirmasi sesuatu selalu ga paham terus sering juga dapet driver yang ugal2an dijalan dikasih tau marah² ga jelas ditambah lagi suka ga tau jalan malah nanya lagi ke penumpang padahal tujuan kita naik gojek supaya nyampe sesuai titik terima kasih,tolong bangt buat pihak gojek diperhatikan lagi perihal drivernya kalau umur ya sudah tua bangt jangn diterima pak bu saya sering banget dapat driver sudah tua bngt pas konfirmasi sesuatu selalu tidak paham terus sering juga dapat driver yang ugal2an dijalan dikasih tahu marah² tidak jelas ditambah lagi suka tidak tahu jalan malah nanya lagi ke penumpang padahal tujuan kita naik gojek supaya nyampe sesuai titik terima kasih,tolong bangt gojek diperhatikan perihal drivernya umur ya tua bangt jangn diterima bu banget driver tua bngt pas konfirmasi paham driver ugal2an dijalan dikasih marah² ditambah suka jalan nanya penumpang tujuan gojek nyampe sesuai titik terima kasih,"['tolong', 'bangt', 'gojek', 'diperhatikan', 'perihal', 'drivernya', 'umur', 'ya', 'tua', 'bangt', 'jangn', 'diterima', 'bu', 'banget', 'driver', 'tua', 'bngt', 'pas', 'konfirmasi', 'paham', 'driver', 'ugal2an', 'dijalan', 'dikasih', 'marah', 'ditambah', 'suka', 'jalan', 'nanya', 'penumpang', 'tujuan', 'gojek', 'nyampe', 'sesuai', 'titik', 'terima', 'kasih']","['tolong', 'bangt', 'gojek', 'perhati', 'perihal', 'drivernya', 'umur', 'ya', 'tua', 'bangt', 'jangn', 'terima', 'bu', 'banget', 'driver', 'tua', 'bngt', 'pas', 'konfirmasi', 'paham', 'driver', 'ugal2an', 'jalan', 'kasih', 'marah', 'tambah', 'suka', 'jalan', 'nanya', 'tumpang', 'tuju', 'gojek', 'nyampe', 'sesuai', 'titik', 'terima', 'kasih']",tolong bangt gojek perhati perihal drivernya umur bangt jangn terima banget driver bngt konfirmasi paham driver ugal2an jalan kasih marah tambah suka jalan nanya tumpang tuju gojek nyampe sesuai titik terima kasih
Pengguna Google,Terimakasih,5,2025-04-20 12:00:39,1,positive,terimakasih,terimakasih,terimakasih,['terimakasih'],['terimakasih'],terimakasih
Pengguna Google,good,5,2025-04-20 11:55:31,1,positive,good,good,good,['good'],['good'],good
Pengguna Google,ok lahh,5,2025-04-20 11:54:36,1,positive,ok lahh,ok lahh,ok lahh,"['ok', 'lahh']","['ok', 'lahh']",lahh
Pengguna Google,gojek is the best pokoknya,5,2025-04-20 11:54:36,1,positive,gojek is the best pokoknya,gojek is the best pokoknya,gojek is the best pokoknya,"['gojek', 'is', 'the', 'best', 'pokoknya']","['gojek', 'is', 'the', 'best', 'pokok']",gojek best pokok
Pengguna Google,membantu sekali,5,2025-04-20 11:54:22,1,positive,membantu sekali,membantu sekali,membantu,['membantu'],['bantu'],bantu
Pengguna Google,josssssss,5,2025-04-20 11:43:44,1,positive,josssssss,josssssss,josssssss,['josssssss'],['josssssss'],josssssss
Pengguna Google,GoJek (Gondol Jelek),1,2025-04-20 11:43:41,-1,negative,gojek gondol jelek,gojek gondol jelek,gojek gondol jelek,"['gojek', 'gondol', 'jelek']","['gojek', 'gondol', 'jelek']",gojek gondol jelek
Pengguna Google,sangat cepat pelayananya,5,2025-04-20 11:42:37,1,positive,sangat cepat pelayananya,sangat cepat pelayananya,cepat pelayananya,"['cepat', 'pelayananya']","['cepat', 'pelayananya']",cepat pelayananya
Pengguna Google,mantap,5,2025-04-20 11:39:31,1,positive,mantap,mantap,mantap,['mantap'],['mantap'],mantap
Pengguna Google,Apakah ada gojek di Maluku tengah??,5,2025-04-20 11:36:00,1,positive,apakah ada gojek di maluku tengah,apakah ada gojek di maluku tengah,gojek maluku,"['gojek', 'maluku']","['gojek', 'malu']",gojek malu
Pengguna Google,Semakin Parah Dengan Adanya Slot....Skrang Yg Berjaya Dan Membantu Drivernya Cmn Grab.....,1,2025-04-20 11:31:28,-1,negative,semakin parah dengan adanya slot skrang yg berjaya dan membantu drivernya cmn grab,semakin parah dengan adanya slot skrang yang berjaya dan membantu drivernya cmn grab,parah slot skrang berjaya membantu drivernya cmn grab,"['parah', 'slot', 'skrang', 'berjaya', 'membantu', 'drivernya', 'cmn', 'grab']","['parah', 'slot', 'skrang', 'jaya', 'bantu', 'drivernya', 'cmn', 'grab']",parah slot skrang jaya bantu drivernya grab
Pengguna Google,"bagus ,,, sesuaiii",5,2025-04-20 11:24:59,1,positive,bagus sesuaiii,bagus sesuaiii,bagus sesuaiii,"['bagus', 'sesuaiii']","['bagus', 'sesuaiii']",bagus sesuaiii
Pengguna Google,selalu membantu..,5,2025-04-20 11:20:33,1,positive,selalu membantu,selalu membantu,membantu,['membantu'],['bantu'],bantu
